text,arg1,arg2,date
是我你爹,0,0,13/04/2021 3:01
Woooow that is cool😍😍😍and I like it!!! 😍😘😘,2,0,12/04/2021 16:17
Mickey Mouse(x,0,0,12/04/2021 16:04
好好玩❤️❤️❤️❤️🤩,0,0,12/04/2021 14:35
奧利給！！！！,0,0,12/04/2021 9:27
好特别诶,0,0,12/04/2021 1:31
太可愛了 訂閱老師,0,0,12/04/2021 0:58
怎麼越來越可愛啦😍,0,0,12/04/2021 0:05
迪士尼警告,0,0,11/04/2021 23:21
帥欸,0,0,11/04/2021 23:08
迪士尼法务部正在赶来的路上,6,0,11/04/2021 17:40
迪士尼正在寄律師函的路上,0,0,11/04/2021 16:28
阿俊可以做魯伯特之淚嗎？,0,0,11/04/2021 11:34
原来如此,0,0,11/04/2021 8:10
笑死,0,0,11/04/2021 0:33
很酷,0,0,10/04/2021 22:33
不用猜就知道是表面张力🌝🌝,2,0,10/04/2021 22:32
這很有趣!(・o・),0,0,10/04/2021 21:33
我想到班上永遠都是「咪思卡，木思卡，米~老鼠！」,1,1,10/04/2021 20:56
現在知道為什麼找不到了,0,0,10/04/2021 20:16
你的笑容好治愈♥️♥️ （重点误^^,2,0,10/04/2021 19:50
我不會說一聽到米奇的聲音,39,0,10/04/2021 18:25
我突然笑了 亨 我絕對不會說的 ((笑,,,
好...可...愛...,0,0,10/04/2021 17:46
米奇尿尿屋,0,0,10/04/2021 17:44
還以為是鐵線蟲,1,0,10/04/2021 16:09
好可爱啊！,0,0,10/04/2021 16:03
米奇不妙屋,1,0,10/04/2021 13:39
喔土豆！,1,0,10/04/2021 12:53
咪斯卡 莫斯卡 John Cena...,2,0,10/04/2021 10:08
看完跑去玩...喔法太好玩了ww,2,0,10/04/2021 10:04
迪士尼正在往你家發送律師函,0,0,10/04/2021 7:04
哇居然沒破,0,0,10/04/2021 6:45
看完差點當gay,5,0,10/04/2021 4:47
酷,0,0,10/04/2021 2:47
太可愛（躺平,4,0,10/04/2021 0:38
酷！原來還有這種玩法～,1,0,09/04/2021 22:40
可以變魔術讓小朋友眼睛發亮了😍,,,
太…可…愛了（躺平,22,0,09/04/2021 21:44
為什麼又重複？,0,0,09/04/2021 21:35
咪斯卡 莫斯卡 米奇帽斯～,1,0,09/04/2021 21:19
我是第一百个赞的,0,0,09/04/2021 19:48
好可愛,2,0,09/04/2021 19:14
請問需要搖擺身體才會產生表面張力嗎？,14,0,09/04/2021 19:09
什麼什麼這麼歡樂~我沒看清，重播,36,0,09/04/2021 18:57
米老鼠,1,0,09/04/2021 18:44
看过在您抖音,2,0,09/04/2021 18:41
等等，這個影片可愛度太高了吧！,267,1,09/04/2021 18:34
突然好想玩吹泡泡啊！,,,
米絲卡 魔絲卡 米老鼠,33,0,09/04/2021 18:30
搖搖搖真的太可愛了😍,83,0,09/04/2021 18:28
第一,0,0,09/04/2021 18:25
1⃣️,0,0,09/04/2021 18:24
1,0,0,09/04/2021 18:24
起飛時，氣流會貼著有弧度的擾流板流動，這個吸附現象就是康達效應😁,246,5,06/04/2021 19:32
當氣流流過上凹的擾流板時，擾流板會給氣流向上的作用力，同時氣流會給予向下的反作用力使機頭揚起、改變飛行方向，這樣紙飛機就能飛回手中囉~😏,,,
為什麼我有戀愛的感覺🤔,0,0,12/04/2021 23:48
音樂是什麼？我想要音樂,0,0,12/04/2021 20:47
我平时瞎叠的纸飞机也都是百分百飞回来，我的纸飞机诅咒，永远飞不远,0,0,12/04/2021 12:20
求bgm,1,0,12/04/2021 0:27
突然被背景音樂煞到，啥歌啊？,0,0,12/04/2021 0:07
我折过了，但是他不会飞去我的手里我扔了在等他回去我手里，但却没有。,0,0,11/04/2021 21:44
最後成果的表情也太可愛🤣,0,0,11/04/2021 18:47
最後結尾也太可愛了吧🤣,0,0,11/04/2021 18:01
看最後那反應一定失敗了至少50次🤣,0,0,11/04/2021 15:04
Death bed,0,0,11/04/2021 14:34
哇，阿骏你好牛啊,0,0,11/04/2021 14:22
強迫症好適合看這個,0,0,11/04/2021 14:00
我學「廢」了,0,0,11/04/2021 10:19
我有折過，成功了！,0,0,11/04/2021 7:13
👍🏼,0,0,11/04/2021 0:58
最後一幕拍很久吧？,0,0,10/04/2021 22:31
說吧,0,0,10/04/2021 21:42
到底拍了幾次😂,,,
我想不管誰射回到手裡,0,0,10/04/2021 18:23
那種興奮一定沒有辦法言喻wwwww,,,
大腦：我會了,6,0,10/04/2021 18:20
雙手：不，你不會,,,
求配樂,0,1,10/04/2021 18:05
Yes 拍了兩個小時終於成功了。 可以下班剪片了 🤣🤣🤣,0,0,10/04/2021 17:37
我能用普通方法折就迴旋是不是奇怪的特技,0,0,10/04/2021 15:21
我從小學時就會折了欸😂😂,0,0,10/04/2021 13:44
背景音樂是什麼,1,2,10/04/2021 12:48
這個教學太清楚了！😲我竟然看懂啦～,0,0,10/04/2021 12:27
阿駿太可愛了,0,0,10/04/2021 7:10
半張A4不就一張A5嗎,0,0,09/04/2021 22:07
阿骏小可爱~,0,0,09/04/2021 12:26
說！！！,0,0,08/04/2021 23:30
後面那個你弄多久,,,
求作者回復,,,
音樂有點搶戲,0,0,08/04/2021 22:34
阿駿好可愛,0,0,08/04/2021 21:48
半張A4是一張A4還是A4摺一半撕下來啊？🤔,0,0,08/04/2021 21:37
求歌名😁😁,0,1,08/04/2021 18:07
滿滿的童年哈哈哈,0,0,08/04/2021 16:43
是說半張A4不就是A5嗎？,,,
这集的阿骏好可爱啊 最后那幕应该试了很久吧 成功的时候那么开心😂,0,0,08/04/2021 9:06
😏,0,0,08/04/2021 8:56
我就在找這台飛機QQ 小時候鄰居爺爺幫我折的,0,0,08/04/2021 1:50
瞧你開心的💗（最後,0,0,07/04/2021 21:17
心裡os：錄那麼多次終於成功了！真帥！,0,0,07/04/2021 19:20
背景音樂有點太大聲,0,0,07/04/2021 17:02
最後的動作，看著就嘴角上揚了😊,2,0,07/04/2021 12:49
這個一看就知道重複拍超多次,1,0,07/04/2021 9:27
看完想法 我還是折普通的飛機就好了🤣🤣,,,
最後的動作好可愛,1,0,07/04/2021 6:32
好清晰的教學,1,0,07/04/2021 6:31
最後的樣子好犯規喔 太可愛了吧,33,0,07/04/2021 0:59
要看ng版的,0,0,07/04/2021 0:29
0:52一直翻看,1,0,07/04/2021 0:11
你最後的表情，說明了付出的辛苦❤️,1,0,07/04/2021 0:11
原來是要用空白紙阿，難怪我用課本的紙都沒成功(咦？,0,0,06/04/2021 23:04
最後辛苦了😂,1,0,06/04/2021 23:03
試了幾次？,1,0,06/04/2021 22:32
Bgm 很可爱,1,0,06/04/2021 22:16
哈哈 這個結尾又做了幾次啊！,0,0,06/04/2021 22:11
看到最後那個勝利姿勢就知道你可能試了三天三夜了！！！,8,0,06/04/2021 22:08
這次的步驟假如用唱的應該會斷氣😂,11,0,06/04/2021 21:52
被自己帥到了吧😂,1,0,06/04/2021 21:51
哇這次的影片比較長ㄟ🤣,0,0,06/04/2021 21:47
哇靠...你的手🥰🥰,1,0,06/04/2021 21:45
這個回到手上的一定又很久 不過應該沒有乒乓球那麼久吧…,0,0,06/04/2021 21:30
所謂的那快樂,11,1,06/04/2021 21:27
放學在家裡看阿駿的Youtube,,,
看來丟了很多次才有最終的效果齁（看那個歡樂的動作～）,42,0,06/04/2021 20:17
以前我折這種紙飛機還被其他同學笑說我的飛機飛不遠🥲🥲,,,
紙飛機系列除了那麼多集，我還是不會折🤣🤣🤣,8,0,06/04/2021 20:02
你最後肯定試了超多次😂😂,225,0,06/04/2021 19:45
哇,5,0,06/04/2021 19:37
还记得你说家是唯一的城堡～（误,59,7,06/04/2021 19:37
那個完美的結尾到底拍了多久啊ww,303,5,06/04/2021 19:36
更正！！！,275,2,06/04/2021 19:32
機頭的小三角跟機翼外側上折,,,
都是折1公分，不是0.1公分,,,
手誤😅😅😅,,,
重心是物體重量的集中點，重心越低越容易平衡(例如蹲著比站直更穩定)😎,110,1,02/04/2021 16:39
在小鳥兩側的翅膀上加上訂書針，使重心轉移到鳥嘴的下方，這樣小鳥就能達到平衡囉~😁,,,
手指好看 臉好看 天啊 如果我是女生都好想嫁給你,0,0,14/04/2021 16:33
訂書機訂字好可愛😍,0,0,14/04/2021 3:53
你超帥的～♡ 不要在意別人的眼光,0,0,13/04/2021 0:25
跟我拿一樣的筆🥰🥰,0,0,10/04/2021 21:11
你聲音有點難聽人真的有點醜但是我還是一直在看你的影片,1,0,10/04/2021 12:01
🌚很像黑猫警长里的大反派 记得样子想不起名字,0,0,10/04/2021 4:45
你不匯，我教你,0,0,08/04/2021 1:40
手很好看耶😍😍😍,0,0,06/04/2021 11:50
我的重心都在你身上了 沒有你我連站都站不起來嗚嗚,29,0,05/04/2021 0:34
之前學校的理化課有用冰棒棍做過，結果每個人的筆上都是平衡鳥😂😂😂,5,0,04/04/2021 23:14
我很好奇做了幾次,0,0,04/04/2021 20:33
我在另一個軟體Bilibili上看到有一位影片剪輯人 從1/2開始一直模仿你錄製影片的方式 操作以及口吻都一樣 叫曼辰物理阿連,22,1,04/04/2021 10:21
在這個影片的紙鳥如果左右釘子的數量不一樣，小鳥的重心會偏移嘛？ 🤔例如說左邊有海量的釘子右邊只有幾個，紙鳥還能保持平衡嘛？,0,0,03/04/2021 15:20
折的好整齊！,0,0,03/04/2021 6:54
駿哥在釘吃字的時候，花了多久時間？,,,
非常喜歡💕療癒,1,0,03/04/2021 2:12
希望現在心情比較好啦,0,0,03/04/2021 0:57
雖知應該是之前拍，還是有種熱感覺😅,2,0,02/04/2021 19:33
訂書機訂字 很可以🤣🤣🤣我最愛吃了,28,0,02/04/2021 18:18
看得我都熱了😅,4,0,02/04/2021 17:33
其实我早就看了.在抖音,6,0,02/04/2021 17:19
這個是不是葫蘆翅啊？,0,0,02/04/2021 16:49
這是何時拍的啊？！,1,2,02/04/2021 16:40
你也會用吃跟睡來轉換心情嗎?😂,136,12,02/04/2021 16:40
第一讚！！,2,0,02/04/2021 16:39
物體會有維持原有狀態的傾向(靜者恆靜、動者恆動),253,7,29/03/2021 17:48
例如:突然將裝水的杯子快速往右拉，水會集中在杯子的左邊😏,,,
所以只要趁塑膠杯不注意，快速將紙抽走，塑膠杯就會留在原地往下掉囉~😁,,,
你的肺活量真大,0,0,14/04/2021 20:54
但是太吵了,0,0,14/04/2021 20:34
好厉害,0,0,14/04/2021 20:34
重錄幾次,0,0,14/04/2021 16:39
这是抖音吧...,0,0,13/04/2021 21:03
最後性嚇到的⬇️,1,0,13/04/2021 21:00
看似小实验 实则秀自己的肺活量,0,0,12/04/2021 21:09
肺活量好大啊,0,0,12/04/2021 18:37
缺氧中,0,0,11/04/2021 13:28
好吵喔,1,0,11/04/2021 10:48
懶得動的。,0,0,05/04/2021 18:22
因好長啊！！,0,0,05/04/2021 17:24
阿駿怎麼可以這麼犯規的可愛😍,1,0,04/04/2021 3:25
厉害,0,0,03/04/2021 20:43
我不是說你那個很強我是說你講話竟然可以憋好久好久好久而且還是一口氣,0,0,03/04/2021 19:26
慣~~~~~~~~xN次後,0,0,03/04/2021 19:24
性🤣,,,
啪！的一下 很快啊～,0,0,03/04/2021 17:09
肺活量不錯 XDDD,0,0,02/04/2021 21:50
感覺氣好長哦……,0,0,02/04/2021 19:53
为什么一直guan🤣,0,0,02/04/2021 13:38
真長气,0,0,02/04/2021 11:11
牛頓第一運動定律：慣性,0,0,02/04/2021 10:17
這個氣。。很適合唱歌欸 超厲害,0,0,02/04/2021 9:37
我還期待什麼時候斷氣 😂,0,0,02/04/2021 0:35
還以為會漂浮在上面,0,0,01/04/2021 21:55
是要多可愛...,0,0,01/04/2021 21:49
邪魅一笑😂😂,0,0,01/04/2021 20:52
科學是其次，笑容才是主要,0,0,01/04/2021 19:18
6666666666666666😂😂😂😂,0,0,01/04/2021 19:00
很可愛的聲音😆,0,0,01/04/2021 17:42
",,,,,,,,,,,,,",0,0,01/04/2021 13:11
笑著好可愛♡♡♡♡,0,0,01/04/2021 10:10
我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我。。。。。性,0,0,01/04/2021 9:14
很快啊,0,0,01/04/2021 1:58
肺活量真強！,0,0,01/04/2021 0:32
氣也太長(´·ω·`),0,0,31/03/2021 22:29
阿駿的頭像遠看像一個伯伯拿着攝影機，有誰跟我一樣弄錯的嗎？😂,21,3,31/03/2021 22:12
溫馨建議：請關聲音🔊😂,1,0,31/03/2021 22:08
慣~~~~~~~~~~~~~~~性！,0,0,31/03/2021 19:44
你的笑聲哈哈哈哈哈哈哈😂,0,0,31/03/2021 18:14
誰跟我一樣在想什麼時候斷氣,12,2,31/03/2021 18:11
你是不是快沒氣了,0,0,31/03/2021 17:50
？？？,1,0,31/03/2021 13:55
有當法師幫人誦經的資質！,0,0,31/03/2021 13:07
J個肺活量,0,0,31/03/2021 13:07
氣太長了啦,0,0,31/03/2021 5:09
可以拍一個南北半球,0,0,31/03/2021 0:40
水的漩渦嗎 還是覺得很不可思議,,,
肺活量厉害哦！,0,0,30/03/2021 21:36
慣啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊∼性,0,0,30/03/2021 20:48
音也拉太長了吧,0,0,30/03/2021 18:27
👎,0,0,30/03/2021 17:22
太強了 氣好長啊👏👏👏,0,0,30/03/2021 17:22
新粉，接？,0,0,30/03/2021 15:38
0:17,0,0,30/03/2021 14:47
同樣實驗做一次,39,0,30/03/2021 8:18
慣～～～～～～～,,,
慣～～～～～～～（暈倒,,,
這個叫做人類缺氧🤣,,,
東西擺在桌上把桌布拉掉也是慣性～～～,3,0,30/03/2021 6:46
重點是我想知道阿駿的歌聲🤣🤣🤣,,,
不知道為什麼就跟著笑了🤣🤣,0,0,30/03/2021 5:45
好了我们知道你肺活量很大了,0,0,30/03/2021 0:44
想知道這次又花了多久時間才完美演繹😆,1,0,30/03/2021 0:22
魔性笑聲,0,0,29/03/2021 23:43
慣~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~性,0,0,29/03/2021 23:08
晚上睡前聽到這個聲音 默默拿起電蚊拍,242,1,29/03/2021 22:32
邊看邊笑哈哈哈哈哈😂慣～～～～～～～～～（根本沒在看實驗,0,0,29/03/2021 22:31
好長氣～😳,1,0,29/03/2021 21:28
吼~怎麼那麼可愛啦～,0,0,29/03/2021 21:16
哇氣好長😂,0,0,29/03/2021 20:52
肺活量挺好的，要不考慮參加合唱團？自由潛水？😂🤣,0,0,29/03/2021 20:38
氣很長嘛o(｀ω´ )o,12,0,29/03/2021 20:09
慣性最常見就是所謂的煞不住車，或是在搭公車停車時會讓你突然往前的力唷～,,,
惯~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~×n 性。最后来个魔性笑声。wwwwwwwwwwwwwwwwwww🤣😂🤣😂🤣😂🤣😂🤣😂😂 XDDDDDDDDDDRXDDDDDDDDDXXXXXXDDDDDDDDD,64,0,29/03/2021 19:03
其實…阿駿是美聲合唱團的🤔,25,0,29/03/2021 18:43
nice,0,0,29/03/2021 18:14
我只想知道你为什么知道那么多🌚🌚🌚,6,0,29/03/2021 18:00
當時就挺突然的… 只是最近在拼段考 本來從4000訂閱開始追,5,0,29/03/2021 17:54
現在已經六萬了 恭喜恭喜(((o(*ﾟ▽ﾟ*)o)))♡,,,
氣也太長XD,7,1,29/03/2021 17:53
最后可以说是魔性笑声,101,0,29/03/2021 17:52
好累：0,0,0,29/03/2021 17:51
0:11 ( ~'ω')~,53,0,29/03/2021 17:51
最後的那個笑容😂👍,6,0,29/03/2021 17:50
慣17秒,168,3,29/03/2021 17:49
性1秒,,,
👍🏻,0,0,29/03/2021 17:49
+1😂😂,4,0,29/03/2021 17:48
在翻回收箱找飲料杯的+1😂,253,8,29/03/2021 17:48
地球外圍有一圈被地心引力吸住的空氣。,820,17,26/03/2021 17:15
這一大~堆空氣的重量，使地面上大約每一平方公分的面積，都要承受1公斤重的大氣壓力💪,,,
就是這股強大的力量+水的表面張力，一起堵住了瓶口，不讓水流出來哦~😁,,,
用玻璃的會比較好吧~,0,0,14/04/2021 0:04
哈哈哈我科学老师刚好让我们做这个实验～,0,0,13/04/2021 18:18
哈哈哈哈哈哈,0,0,11/04/2021 17:44
這個標題讓我想到音浪,0,0,11/04/2021 17:39
（啊啊啊！啊啊啊啊！）抽離身體 放開自己 （啊啊啊！啊啊啊啊！）地心引力抓不住你,,,
為什麼不是表面張力？,0,0,10/04/2021 19:42
双击屏幕，给阿俊刷讚！,0,0,10/04/2021 15:23
😂,0,0,10/04/2021 9:05
我覺得是假的因為第一個他因該有用東西蓋著,0,0,08/04/2021 17:31
本來就有個套😒,1,0,06/04/2021 18:15
大气压力～（然后飙音,0,0,06/04/2021 16:20
大氣壓力🤣🤣🤣🤣🤣,0,0,06/04/2021 16:16
最後一個表情 笑死我了😂,1,0,05/04/2021 23:13
片尾重看好幾遍，沒看必笑🤣🤣🤣,0,0,05/04/2021 16:12
你有一層膜就是表面面張力的原理,1,0,05/04/2021 12:22
這不是大氣壓力而是上面,1,0,05/04/2021 12:21
現在缺水你還玩,1,0,05/04/2021 10:37
擠壓到瓶子了,0,0,05/04/2021 6:07
要用玻璃瓶啦,,,
噗噗,,,
大氣壓力～yeeeeee！！！🤣🤣,1,0,05/04/2021 4:01
我比你久XDD,0,0,04/04/2021 19:49
糗了😿,0,0,04/04/2021 19:06
應該要用硬的瓶子 這種輕輕一壓就爆了哈哈哈,0,0,04/04/2021 17:49
不作死就不会死,0,0,04/04/2021 15:36
用塑膠片比較好,0,0,03/04/2021 22:22
最後一秒🤣,0,0,03/04/2021 21:50
😂😂😂,0,0,03/04/2021 19:21
真的好可爱,0,0,03/04/2021 17:14
叫你模仿不是叫你超越,0,0,03/04/2021 17:09
谁叫你作死摇一下,0,0,03/04/2021 16:16
大氣壓力~~~（然後水倒出來了,0,0,03/04/2021 15:13
让你嘚瑟😂,0,0,03/04/2021 14:32
😂😂😂,0,0,03/04/2021 13:45
ㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧ,0,0,03/04/2021 11:44
我們自然剛上ouo,0,0,03/04/2021 11:11
瓶子:ㄍ把我封口 😡,1,0,03/04/2021 1:22
瓶子:(你搖時)看我的水攻,,,
阿駿:大氣壓力一一一一一,,,
Yeee,0,0,03/04/2021 0:36
我還以為說的阿駿是草爺的那個阿駿,0,0,03/04/2021 0:05
😂😂😂,0,0,02/04/2021 23:29
突然很想抓住那搖晃的手 XDD,0,0,02/04/2021 21:52
(因為不安分阿XDDDD),,,
打7鴨力eeeeeeeeeeeeeeeeee,0,0,02/04/2021 21:52
不要抖😂😂,0,0,02/04/2021 20:34
哩～係～北～七～～1～11,0,0,02/04/2021 19:41
阿駿我是在新聞看得到你的影片材料來追隨你的,1,0,02/04/2021 18:03
在搖啊,0,0,02/04/2021 17:19
台灣成功大學最新石墨烯結構求解釋,0,0,02/04/2021 15:58
哈哈哈哈,0,0,02/04/2021 15:51
哈哈哈哈 谁叫你摇的,0,0,02/04/2021 15:26
我想问 丁达尔效应 我们弄得出嘛？,0,0,02/04/2021 14:05
都已經封膜了還被騙有夠無腦,0,0,02/04/2021 13:39
哈哈哈,0,0,02/04/2021 13:31
肯定是假的，我坐过了。,0,0,02/04/2021 12:18
大氣壓力~~~~yeeeee...,0,0,02/04/2021 11:05
大氣壓力yeeeeeeeee~,0,0,02/04/2021 10:19
裂開,0,0,02/04/2021 9:42
大气压yeeeeee,0,0,02/04/2021 0:43
good good good,0,0,01/04/2021 22:46
哈哈！ 最後水丟下來了！,0,0,01/04/2021 21:07
大氣壓力！！！！！！！啊啊啊啊露出來了啊啊,0,0,01/04/2021 20:36
哈哈哈哈哈哈哈哈哈,0,0,01/04/2021 18:48
大~氣~壓~力~⤴️➡️⤵️,0,0,01/04/2021 17:03
人家没摇晃🤣,0,0,01/04/2021 12:02
我試了真係好好玩呀我用咗很多紙巾嚟做真係不會掉下來的拍拍手,1,0,01/04/2021 11:33
你的歌很好笑我也試試先一會兒,1,0,01/04/2021 11:23
你的歌很好笑我也試試先,0,0,01/04/2021 11:23
大氣壓力yeeeeeee,0,0,01/04/2021 0:17
大氣壓力～～～,74,0,31/03/2021 23:09
One second later....,,,
我都看過這個實驗,0,0,31/03/2021 22:17
大氣壓力yeeeeeeeeeeee🤣🤣🤣,0,0,31/03/2021 22:11
😂,1,0,31/03/2021 21:33
我看清楚了，你在水上面還有一層紙包袱這蓋子他就不會的水,0,0,31/03/2021 20:16
我比較想知道你浪費了多少張衛生紙在做這個測試😂😂😂,0,0,31/03/2021 19:02
大氣壓力~yee/yee/yee/yee\,0,0,31/03/2021 16:04
ummmm,0,0,31/03/2021 14:59
ace pilot,0,0,31/03/2021 14:02
哈哈哈哈哈,0,0,31/03/2021 10:38
大气压力~~~依~~~~~~~🤣🤣,0,0,31/03/2021 10:06
👎👎👎👎👎👎👎👎😡,0,0,31/03/2021 8:50
力yeeeee😂,0,0,30/03/2021 22:45
大气压力---咦~~~~~~,0,0,30/03/2021 22:13
大氣壓 力~,0,0,30/03/2021 21:55
試用玻璃樽吧！,0,0,30/03/2021 21:27
力意義意義意義意義一🤣,0,0,30/03/2021 20:10
这是假的.,0,0,30/03/2021 19:11
哈哈,0,0,30/03/2021 18:37
最后也太搞笑了吧，哈哈哈哈,0,0,30/03/2021 18:19
是真的，我有做过,0,0,30/03/2021 11:42
要用玻璃瓶，塑料瓶容易挤压，使瓶内气压变大,0,0,30/03/2021 9:33
/\,1,0,30/03/2021 8:07
/ \,,,
大气压力~,,,
瓶口應該🈶️鐵絲網,0,0,30/03/2021 3:40
第一次看你翻車😂😂🙈,0,0,30/03/2021 2:52
這人好搞笑憨憨的,0,0,29/03/2021 23:10
在還沒放下紙前，有蓋子,0,0,29/03/2021 22:01
大氣壓力eeeeEEEEEeeEEee,0,0,29/03/2021 22:01
再搖啊！,0,0,29/03/2021 21:58
大氣壓力: 抓到你了 😈,,,
最後好搞笑,0,0,29/03/2021 21:58
大氣壓力,0,0,29/03/2021 21:43
yeeee,,,
這是真的~~~~~~,1,0,29/03/2021 21:30
🤣🤣🤣,0,0,29/03/2021 19:31
🤣🤣🤣,0,0,29/03/2021 19:10
大氣壓力~yeeeeeeeeeeee,0,0,29/03/2021 17:44
大氣壓力 咦咦咦咦咦😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😁🤣😂🤣😂🤣😂🤣😂🤣😂🤣🤣😂😂🤣🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂😂🤣😂😅🤣😂🤣😂🤣😂🤣🤣😂😂😅🤣😁😂😂🤣🤣😂🤣😂🤣🤣😂😂🤣😂🤣😂🤣😂🤣😂🤣🤣🤣😂😂🤣🤣😂🤣😂🤣😂🤣😂😂🤣🤣😂😂🤣😂🤣🤣😂😂🤣😂😂😂😂🤣,1,0,29/03/2021 16:27
原來是業配,0,0,08/04/2021 23:45
看完後真的想買了，業~配~成~功~,0,0,08/04/2021 19:53
笑起來一模一樣欸,0,0,07/04/2021 1:05
姊姊超可愛的,,,
啊俊是西木西木的華振嗎？,0,0,05/04/2021 13:46
你~在~業~配~,0,0,02/04/2021 19:49
這姐弟兩好ㄎㄧㄤ哦www,0,0,01/04/2021 6:53
好帥⋯⋯,0,0,01/04/2021 1:56
不要在广告里植入知识片！😂😂,0,0,31/03/2021 17:20
這笑容.....😍洗拉哇ㄙㄟˇ~~~,0,0,31/03/2021 11:22
阿駿真的年過三十嗎？ 看不出來欸,0,0,31/03/2021 2:01
還以為阿駿才25歲!,0,0,31/03/2021 0:08
業配～😂,0,0,30/03/2021 13:08
最後怎麼沒有,0,0,30/03/2021 3:37
卡~洛~伊,,,
原來是一日暖男啊 我還以為是業配呢,1,0,29/03/2021 12:23
很讚～買～起來～,0,0,29/03/2021 8:11
看得出 其實阿駿對這產品本來也是半信半疑 哈哈哈哈 但是感覺好像不錯用 可以買來試試。👍😊,0,0,29/03/2021 2:07
真的有用耶（抖抖） 😂,0,0,28/03/2021 22:51
你看起來像大學生而已啊！,0,0,28/03/2021 22:14
我超震驚欸！！,,,
頭皮檢測儀哪牌的？,0,0,28/03/2021 21:03
我好喜歡他笑的樣子 ♡♡♡戀愛了,4,0,28/03/2021 14:27
歪樓。。。,,,
卡~洛~伊~,0,0,28/03/2021 10:28
恭喜開張🎉,1,1,28/03/2021 9:28
感覺自己需要去買個了,,,
完了 我居然會期待最後來個卡~洛~伊~,3,1,28/03/2021 7:43
太太太喜歡阿駿的笑聲 真的太可愛了😍,0,0,28/03/2021 5:51
看不出來已經過三十……好年輕,0,0,28/03/2021 3:20
👍,0,0,27/03/2021 18:22
天啊～ 年過30？！😲🤪,0,0,27/03/2021 15:11
還以為是高中生咧！🤣🤣,,,
阿駿竟年過三十！？（話說你484在業配😂🤔）,0,0,27/03/2021 15:03
